文書群番号,資料束番号,資料束名,年代,西暦,差出人・作成者,宛名,形態,奥書・裏書等,数量,情報入力日,情報更新日,所蔵機関,所蔵地点情報,画像データURL,画像公開条件,備考
4,20,相定申証文之事（宮川江さしに付両村出入一件）等一括,寛文元年等,,漆原村等,,一紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,21,書簡等綴,大正等,,,,綴,,1,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),
4,22,相渡シ申証文之事（卸米に付）等一括,寛延4年等,,本人・受人・村役人等,市右衛門等,一紙等,奥書あり,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,23,お悔やみ状等一括,,,加藤等,丸山様等,切紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,24,御田地相極申年季証文之事等一括,正徳5年等,,漆原村本人・村役人等,同村市右衛門殿等,切紙等,裏書あり,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,25,三年季本物返シ売渡シ御高証文之事（高売渡証文）等一括,宝暦13年等,,漆原村本人・村役人等,市右衛門殿等,一紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,26,送籍証等一括,明治11年等,,漆原村副戸長等,同小区石生谷村福戸長等,罫紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,27,惣高惣分改帳等一括,寛政3年等,,庄屋等,,横半帳等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,28,地券御発行ニ付反別地価取調帳,明治5年,,第廿区丹生郡漆原村,,横帳,,1,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),
4,29,字馬場丈量野取帳等一括,明治,,測量人・丈量人等,,竪帳等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,30,字五分田丈量野取帳等一括,明治,,測量人・丈量人等,,竪帳等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,31,卯年皆済目録（年貢皆済目録）等一括,天明4年等,,漆原村村役人等,地方御役所等,続紙等,奥書あり,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,32,亥御年貢可納割付之事（年貢割付状）等一括,享保16年等,,林兵右衛門等,漆原村村役人等,続紙等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,33,御布告等一括,明治10年等,,丸山市右衛門等,,横半帳等,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),こより紐で一括
4,34,慶安元年内検地水帳、用水関係証文類等,天正丑年～明治,,,,,,不明,2018/9/12,2019/1/3,合同会社AMANE,"36.517146, 136.626118",https://flic.kr/s/aHsmnqgQwj,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),天正・寛永・慶安・承応の文書には裏張りあり。
