資料ID,資料名,題材,大きさ：縦（cm）,大きさ：横（cm）,形態,作成者,由来,入手日,情報入力日,情報更新日,所蔵機関,所蔵地点情報,画像データURL,画像公開条件,画像撮影者,備考
19,宮城県師範学校図案資料（仮）,花、蓮,27.6 ,39.7 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
20,宮城県師範学校図案資料（仮）,果物,26.3 ,34.0 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
21,宮城県師範学校図案資料（仮）,花、蓮,33.0 ,24.5 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
22,宮城県師範学校図案資料（仮）,花、蜻蛉,27.2 ,38.5 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
23,宮城県師範学校図案資料（仮）,花,27.5 ,39.7 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
24,宮城県師範学校図案資料（仮）,花、牡丹,27.6 ,39.2 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
25,宮城県師範学校図案資料（仮）,山,27.7 ,39.2 ,紙本淡彩,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
26,宮城県師範学校図案資料（仮）,花,27.9 ,39.8 ,紙本墨画,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
27,宮城県師範学校図案資料（仮）,菓子折,27.5 ,36.0 ,紙本墨画,京道君代,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
28,宮城県師範学校図案資料（仮）,稲虫,27.3 ,36.3 ,紙本墨画,京道キミヨ,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
29,宮城県師範学校図案資料（仮）,羽子板、羽根、糸手毬,28.0 ,40.0 ,紙本著色,女子第二学年生　京道きみよ,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
30,宮城県師範学校図案資料（仮）,花、蓮,27.0 ,38.1 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
31,宮城県師範学校図案資料（仮）,雪、鴉,27.5 ,35.5 ,紙本淡彩,京道キミヨ,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
32,宮城県師範学校図案資料（仮）,折鶴、松,28.0 ,36.0 ,紙本墨画,京道君代,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
33,宮城県師範学校図案資料（仮）,果物,27.3 ,39.0 ,紙本著色,,ヤフオク,2018年7月21日,2018年8月1日,2018年8月1日,合同会社AMANE,"36.550133, 136.643954",https://flic.kr/s/aHsmnrG7Ga,Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0) ,合同会社AMANE,
